Degraded,MOS_P563
1028-20100710-hne_ar-01_plr1_opus.wav, 1.000000
1028-20100710-hne_ar-02_plr3_evs.wav, 1.000000
1028-20100710-hne_ar-03_plr5_opus.wav, 1.000000
1028-20100710-hne_ar-04_plr1_evs.wav, 1.000000
1028-20100710-hne_ar-05_plr3_opus.wav, 1.000000
1028-20100710-hne_ar-06_plr5_evs.wav, 1.000000
1028-20100710-hne_ar-07_plr1_opus.wav, 1.000000
1028-20100710-hne_rp-29_plr3_evs.wav, 1.000000
1028-20100710-hne_rp-30_plr5_opus.wav, 1.000000
1028-20100710-hne_rp-31_plr1_evs.wav, 1.000000
1337ad-20170321-ajg_en-0532_plr3_opus.wav, 1.000000
1337ad-20170321-ajg_en-0533_plr5_evs.wav, 1.000000
1337ad-20170321-ajg_en-0534_plr1_opus.wav, 1.000000
1337ad-20170321-ajg_en-0535_plr3_evs.wav, 1.000000
1337ad-20170321-ajg_en-0536_plr5_opus.wav, 1.000000
1337ad-20170321-ajg_en-0537_plr1_evs.wav, 1.000000
1337ad-20170321-ajg_en-0538_plr3_opus.wav, 1.000000
1337ad-20170321-ajg_en-0539_plr5_evs.wav, 1.000000
1337ad-20170321-ajg_en-0540_plr1_opus.wav, 1.000000
1337ad-20170321-ajg_en-0541_plr3_evs.wav, 1.000000
1337ad-20170321-tkg_en-0726_plr5_opus.wav, 1.000000
1337ad-20170321-tkg_en-0727_plr1_evs.wav, 1.000000
1337ad-20170321-tkg_en-0728_plr3_opus.wav, 1.000000
1337ad-20170321-tkg_en-0729_plr5_evs.wav, 1.000000
1337ad-20170321-tkg_en-0730_plr1_opus.wav, 1.000000
1337ad-20170321-tkg_en-0731_plr3_evs.wav, 1.000000
1337ad-20170321-tkg_en-0732_plr5_opus.wav, -nan
1337ad-20170321-tkg_en-0733_plr1_evs.wav, 1.000000
1337ad-20170321-tkg_en-0734_plr3_opus.wav, 1.000000
1337ad-20170321-tkg_en-0735_plr5_evs.wav, 1.000000
1337ad-20170321-ynk_en-0647_plr1_opus.wav, 1.000000
1337ad-20170321-ynk_en-0648_plr3_evs.wav, 1.000000
1337ad-20170321-ynk_en-0649_plr5_opus.wav, 1.000000
1337ad-20170321-ynk_en-0650_plr1_evs.wav, 1.000000
1337ad-20170321-ynk_en-0651_plr3_opus.wav, 1.000000
1337ad-20170321-ynk_en-0652_plr5_evs.wav, 1.000000
1337ad-20170321-ynk_en-0653_plr1_opus.wav, 1.000000
1337ad-20170321-ynk_en-0654_plr3_evs.wav, 1.000000
1337ad-20170321-ynk_en-0655_plr5_opus.wav, 1.000000
1337ad-20170321-ynk_en-0656_plr1_evs.wav, 1.000000
1snoke-20120412-hge_a0405_plr3_opus.wav, 1.000000
1snoke-20120412-hge_a0406_plr5_evs.wav, 1.000000
1snoke-20120412-hge_a0407_plr1_opus.wav, 1.000000
1snoke-20120412-hge_a0408_plr3_evs.wav, 1.000000
1snoke-20120412-hge_a0409_plr5_opus.wav, 1.000000
1snoke-20120412-hge_a0410_plr1_evs.wav, 1.000000
1snoke-20120412-hge_a0411_plr3_opus.wav, 1.000000
1snoke-20120412-hge_a0412_plr5_evs.wav, 1.000000
1snoke-20120412-hge_a0413_plr1_opus.wav, 1.000000
1snoke-20120412-hge_a0414_plr3_evs.wav, 1.000000
23yipikaye-20100807-ujm_b0312_plr5_opus.wav, 1.000000
23yipikaye-20100807-ujm_b0313_plr1_evs.wav, 1.000000
23yipikaye-20100807-ujm_b0314_plr3_opus.wav, 1.000000
23yipikaye-20100807-ujm_b0315_plr5_evs.wav, 1.000000
23yipikaye-20100807-ujm_b0316_plr1_opus.wav, 1.000000
23yipikaye-20100807-ujm_b0317_plr3_evs.wav, 1.000000
23yipikaye-20100807-ujm_b0318_plr5_opus.wav, 1.000000
23yipikaye-20100807-ujm_b0319_plr1_evs.wav, 1.000000
23yipikaye-20100807-ujm_b0320_plr3_opus.wav, 1.000000
23yipikaye-20100807-ujm_b0321_plr5_evs.wav, 1.000000
2old2play-20110606-hcn_a0293_plr1_opus.wav, 1.525934
2old2play-20110606-hcn_a0294_plr3_evs.wav, 1.000000
2old2play-20110606-hcn_a0295_plr5_opus.wav, 1.000000
2old2play-20110606-hcn_a0296_plr1_evs.wav, 1.596481
2old2play-20110606-hcn_a0297_plr3_opus.wav, 1.359485
2old2play-20110606-hcn_a0298_plr5_evs.wav, 1.697229
2old2play-20110606-hcn_a0299_plr1_opus.wav, 2.056890
2old2play-20110606-hcn_a0300_plr3_evs.wav, 1.000000
2old2play-20110606-hcn_a0301_plr5_opus.wav, 1.241822
2old2play-20110606-hcn_a0302_plr1_evs.wav, 1.805959
2old2play-20110606-wlt_a0233_plr3_opus.wav, 1.591773
2old2play-20110606-wlt_a0234_plr5_evs.wav, 2.028611
2old2play-20110606-wlt_a0235_plr1_opus.wav, 1.754838
2old2play-20110606-wlt_a0236_plr3_evs.wav, 1.000000
2old2play-20110606-wlt_a0237_plr5_opus.wav, 1.591489
2old2play-20110606-wlt_a0238_plr1_evs.wav, 1.000000
2old2play-20110606-wlt_a0239_plr3_opus.wav, 1.000000
2old2play-20110606-wlt_a0240_plr5_evs.wav, 1.130791
2old2play-20110606-wlt_a0241_plr1_opus.wav, 1.906135
2old2play-20110606-wlt_a0242_plr3_evs.wav, 1.496101
314piwm-20130617-xuo_b0244_plr5_opus.wav, 1.843344
314piwm-20130617-xuo_b0245_plr1_evs.wav, 1.025146
314piwm-20130617-xuo_b0246_plr3_opus.wav, 1.111946
314piwm-20130617-xuo_b0247_plr5_evs.wav, 1.434298
314piwm-20130617-xuo_b0248_plr1_opus.wav, 1.474014
314piwm-20130617-xuo_b0249_plr3_evs.wav, 1.035168
314piwm-20130617-xuo_b0250_plr5_opus.wav, 1.049625
314piwm-20130617-xuo_b0251_plr1_evs.wav, 1.095718
314piwm-20130617-xuo_b0252_plr3_opus.wav, 1.000000
314piwm-20130617-xuo_b0253_plr5_evs.wav, 1.000000
AJN-20131002-zcl_b0089_plr1_opus.wav, 1.000000
