,Degraded,MOS_CNN,MOS_polqa,MOS_P563,MOS_PESQ,CNNerr,PESQerr,P563err,CNNacc,PESQacc,P563acc
0,mcmurray02-20090312-joh_b0292_delay_300_jitter_5_plr_3_evs,4.0385942,3.8,3.203026,3.3819999999999997,0.2385942459106447,0.41800000000000015,0.5969739999999999,96.73158567245692,94.27397260273972,91.82227397260274
1,LunaTick-20080326-cc_cc-18_delay_300_jitter_5_plr_3_opus,3.7968702,3.99,4.003209,3.3489999999999998,0.19312976837158224,0.6410000000000005,0.013208999999999804,97.42149841960504,91.44192256341789,99.82364485981309
2,neuralnet-20080702-jvy_b0360_delay_50_jitter_1_plr_5_opus,3.1758738,3.32,4.437272,2.7110000000000003,0.14412624359130843,0.6089999999999995,1.1172720000000003,97.88671197080193,91.07038123167156,83.61771260997067
3,anonymous-20141225-jpm_a0261_delay_300_jitter_10_plr_1_evs,3.8578725,3.86,3.8270989999999996,3.415,0.0021275138854979225,0.44499999999999984,0.03290100000000029,99.97109356133835,93.9538043478261,99.55297554347825
4,anonymous-20100821-ril_b0238_delay_50_jitter_1_plr_1_opus,3.954213,4.5,5.0,3.944,0.5457870960235596,0.556,0.5,93.1776612997055,93.05,93.75
5,MSypkensSmit-20080803-rjg_a0049_delay_300_jitter_10_plr_1_evs,3.3122692,3.81,2.6570259999999997,3.641,0.49773078918457037,0.16900000000000004,1.1529740000000004,93.19109727517687,97.68809849521203,84.22744186046512
6,ralfherzog-20071014-en14_en14-35_delay_100_jitter_5_plr_5_opus,3.7897575,4.08,5.0,3.54,0.290242509841919,0.54,0.9199999999999999,96.1709431419272,92.87598944591029,87.86279683377309
7,rjmunro-20090213-xte_rp-29_delay_50_jitter_1_plr_3_opus,3.8991187,3.47,2.019345,2.8169999999999997,0.42911866188049297,0.6530000000000005,1.4506550000000002,93.84334774920383,90.6312769010043,79.18715925394548
8,akiplaner-20091214-xat_b0507_delay_300_jitter_10_plr_5_opus,3.0815444,3.26,4.217385,3.147,0.17845560073852518,0.11299999999999999,0.9573850000000004,97.3601242494301,98.32840236686391,85.83749999999999
9,anonymous-20130902-ddm_a0355_delay_50_jitter_10_plr_5_evs,4.2314076,2.43,3.622271,3.075,1.8014076423645018,0.645,1.1922709999999999,69.62213082016018,89.12310286677909,79.89424957841484
10,royerfa-20080305_vf5-3_delay_50_jitter_10_plr_3_evs,3.6363635,2.38,2.898488,1.57,1.2563635063171388,0.8099999999999998,0.5184880000000001,78.63327370208947,86.22448979591837,91.1821768707483
11,tomhannen-20080411-ely_a0070_delay_300_jitter_5_plr_1_opus,3.3516674,3.85,4.161129,3.903,0.4983325958251954,0.052999999999999936,0.31112899999999977,93.2199646826504,99.27891156462586,95.76695238095239
12,AlexanderHenningDrachmann-20140108-sju_a0472_delay_300_jitter_1_plr_3_opus,3.9904008,3.2,3.5804379999999996,2.0980000000000003,0.7904007911682127,1.1019999999999999,0.3804379999999994,88.20297326614607,83.55223880597015,94.3218208955224
13,ralfherzog-20070923-en8_en8-172_delay_300_jitter_10_plr_5_opus,4.133333,3.55,4.522974,3.221,0.583333206176758,0.32899999999999974,0.9729739999999998,91.72577012515237,95.33333333333334,86.19895035460993
14,robin-20070326-vf15_vf15-35_delay_100_jitter_5_plr_3_opus,3.07925,4.31,4.218357,4.118,1.2307499027252193,0.19199999999999928,0.09164299999999947,84.24135847983074,97.54161331626122,98.82659411011524
15,bhuvan-20091111-cil_b0502_delay_300_jitter_10_plr_1_opus,4.0030956,3.2,3.540313,3.0269999999999997,0.8030956268310545,0.1730000000000005,0.34031299999999964,88.01349810699918,97.41791044776119,94.92070149253732
