Degraded,MOS_CNN,MOS_polqa,MOS_P563,MOS_PESQ,CNNerr,PESQerr,P563err,CNNacc,PESQacc,P563acc
frankster-20170507-anw_en-0517_plr5_opus,0.9939807,3.88,1.0,3.7339999675750732,2.8860192942619323,0.14600003242492665,2.88,62.17536966891308,98.08650023034173,62.254259501965926
wicke-20090314-jtl_rb-18_plr5_opus,3.910668,2.93,0.0,3.812999963760376,0.9806678962707518,0.8829999637603758,2.93,85.31934287019833,86.78143766825785,56.1377245508982
Robin-20071226-fhc_b0010_plr5_evs,4.5048223,4.05,1.0,3.5360000133514404,0.4548222541809084,0.5139999866485594,3.05,94.16894545921912,93.41025658142873,60.8974358974359
Q-20150606-gth_a0298_plr5_evs,0.95869714,4.15,1.0,3.996999979019165,3.191302859783173,0.15300002098083532,3.1500000000000004,59.60376126856743,98.0632908736603,60.12658227848101
taslack-20090113-vno_ar-23_plr1_opus,3.9403727,4.18,0.0,4.13100004196167,0.239627294540405,0.048999958038329794,4.18,96.97821822773764,99.3820938456705,47.28877679697352
anonymous-20080318-ymo_a0369_plr5_evs,3.3373277,3.85,1.0,3.9779999256134033,0.5126722812652589,0.12799992561340323,2.85,93.25431208861501,98.31579045245522,62.49999999999999
anonymous-20140812-nsb_a0369_plr1_evs,4.4855194,4.35,1.370285,3.687999963760376,0.13551940917968786,0.6620000362396237,2.9797149999999997,98.32692087432484,91.8271600464244,63.2133950617284
anonymous-20110406-xft_b0536_plr5_opus,3.4295075,4.74,1.0,4.105000019073486,1.310492506027222,0.6349999809265139,3.74,84.56428143666406,92.52061270993505,55.948174322732626
mikemol-20160415-iqt_ar-15_plr1_opus,0.76879925,4.05,0.0,4.10699987411499,3.2812007546424864,0.05699987411499041,4.05,57.93332365842966,99.26923238314114,48.07692307692307
mdm-20080822-gdd_rb-20_plr1_evs,3.6761472,3.39,0.0,3.609999895095825,0.2861472225189208,0.21999989509582507,3.39,95.99233581906273,96.91876897624896,52.52100840336135
susrut-20090104-bns_a0232_plr3_evs,3.9302022,4.01,0.0,3.325000047683716,0.07979775428771951,0.684999952316284,4.01,98.97167842412733,91.17268102685202,48.32474226804124
ralfherzog-20070903-en2_en2-014_plr3_opus,3.9361331,1.0,0.0,1.0850000381469727,2.9361331462860107,0.08500003814697266,1.0,38.18667060450503,98.21052551269531,78.94736842105263
RG-20130311-oty_b0530_plr5_evs,1.0704612,4.23,1.0,3.7750000953674316,3.1595388460159306,0.4549999046325688,3.2300000000000004,60.406781378246485,94.29824680911568,59.523809523809526
akiplaner-20091214-ivd_a0519_plr3_evs,4.2152824,3.9,1.0,3.9649999141693115,0.31528244018554696,0.06499991416931161,2.9,95.87866091260723,99.1503279193554,62.091503267973856
